ability_1,ability_10,ability_11,ability_12,ability_13,ability_14,ability_15,ability_16,ability_17,ability_18,ability_19,ability_2,ability_20,ability_3,ability_4,ability_5,ability_6,ability_7,ability_8,ability_9,armor_class,challenge,charisma,condition_immunities,constitution,damage_immunities,damage_resistances,dexterity,hit_points,intelligence,languages,misc,name,saving_throws,senses,short_desc,skills,speed,strength,url,wisdom
"Death Burst.;; When the mephit dies, it explodes in a burst of jagged ice. Each creature within 5 ft. of it must make a DC 10 Dexterity saving throw, taking 4 (1d8) slashing damage on a failed save, or half as much damage on a successful one.",,,,,,,,,,,"False Appearance.;; While the mephit remains motionless, it is indistinguishable from an ordinary shard of ice.",,"Innate Spellcasting (1/Day).;; The mephit can innately cast fog cloud, requiring no material components. Its innate spellcasting ability is Charisma.","Claws.;; Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) slashing damage plus 2 (1d4) cold damage.","Frost Breath (Recharge 6).;; The mephit exhales a 15-foot cone of cold air. Each creature in that area must succeed on a DC 10 Dexterity saving throw, taking 5 (2d4) cold damage on a failed save, or half as much damage on a successful one.","Variant: Summon Mephits (1/Day).;; The mephit has a 25 percent chance of summoning 1d4 mephits of its kind. A summoned mephit appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can’t summon other mephits. It remains for 1 minute, until it or its summoner dies, or until its summoner dismisses it as an action.",,,,11,1/2 (100 XP),12 (+1),poisoned,10 (0),"cold, poison",,13 (+1),21 (6d6),9 (-1),"Aquan, Auran",,Ice Mephit,,darkvision 60 ft.,"Small elemental, neutral evil","Perception +2, Stealth +3","30 ft., fly 30 ft.",7 (-2),http://chisaipete.github.io/bestiary/creature/ice-mephit,11 (0)
Devil’s Sight.;; Magical darkness doesn’t impede the devil’s darkvision.,"||ADDENDUM||The wall lasts for 1 minute or until the devil is incapacitated or dies. The wall can be damaged and breached; each 10-foot section has AC 5, 30 hit points, vulnerability to fire damage, and immunity to acid, cold, necrotic, poison, and psychic damage. If a section is destroyed, it leaves behind a sheet of frigid air in the space the wall occupied. Whenever a creature finishes moving through the frigid air on a turn, willingly or otherwise, the creature must make a DC 17 Constitution saving throw, taking 17 (5d6) cold damage on a failed save, or half as much damage on a successful one. The frigid air dissipates when the rest of the wall vanishes.",,,,,,,,,,Magic Resistance.;; The devil has advantage on saving throws against spells and other magical effects.,,Multiattack.;; The devil makes two attacks: one with its spear and one with its tail.,"Ice Spear.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 14 (2d8 + 5) piercing damage plus 10 (3d6) cold damage. If the target is a creature, it must succeed on a DC 15 Constitution saving throw, or for 1 minute, its speed is reduced by 10 feet; it can take either an action or a bonus action on each of its turns, not both; and it can’t take reactions. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Bite.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) piercing damage plus 10 (3d6) cold damage.","Claws.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 10 (2d4 + 5) slashing damage plus 10 (3d6) cold damage.","Tail.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage plus 10 (3d6) cold damage.","Wall of Ice.;; The devil magically forms an opaque wall of ice on a solid surface it can see within 60 feet of it. The wall is 1 foot thick and up to 30 feet long and 10 feet high, or it’s a hemispherical dome up to 20 feet in diameter.","||ADDENDUM||When the wall appears, each creature in its space is pushed out of it by the shortest route. The creature chooses which side of the wall to end up on, unless the creature is incapacitated. The creature then makes a DC 17 Dexterity saving throw, taking 35 (10d6) cold damage on a failed save, or half as much damage on a successful one.",18 (natural armor),"14 (11,500 XP)",18 (+4),poisoned,18 (+4),"fire, poison","bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered",14 (+2),180 (19d10+76),18 (+4),"Infernal, telepathy 120 ft.",,Ice Devil Spear,"Dex +7, Con +9, Wis +7, Cha +9","blindsight 60 ft., darkvision 120 ft.","Large fiend (devil), lawful evil",,40 ft.,21 (+5),http://chisaipete.github.io/bestiary/creature/ice-devil-spear,15 (+2)
Devil’s Sight.;; Magical darkness doesn’t impede the devil’s darkvision.,,,,,,,,,,,Magic Resistance.;; The devil has advantage on saving throws against spells and other magical effects.,,"Multiattack.;; The devil makes three attacks: one with its bite, one with its claws, and one with its tail.","Bite.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) piercing damage plus 10 (3d6) cold damage.","Claws.;; Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 10 (2d4 + 5) slashing damage plus 10 (3d6) cold damage.","Tail.;; Melee Weapon Attack:+10 to hit, reach 10 ft., one target. Hit: 12 (2d6 + 5) bludgeoning damage plus 10 (3d6) cold damage.","Wall of Ice.;; The devil magically forms an opaque wall of ice on a solid surface it can see within 60 feet of it. The wall is 1 foot thick and up to 30 feet long and 10 feet high, or it’s a hemispherical dome up to 20 feet in diameter.","||ADDENDUM||When the wall appears, each creature in its space is pushed out of it by the shortest route. The creature chooses which side of the wall to end up on, unless the creature is incapacitated. The creature then makes a DC 17 Dexterity saving throw, taking 35 (10d6) cold damage on a failed save, or half as much damage on a successful one.","||ADDENDUM||The wall lasts for 1 minute or until the devil is incapacitated or dies. The wall can be damaged and breached; each 10-foot section has AC 5, 30 hit points, vulnerability to fire damage, and immunity to acid, cold, necrotic, poison, and psychic damage. If a section is destroyed, it leaves behind a sheet of frigid air in the space the wall occupied. Whenever a creature finishes moving through the frigid air on a turn, willingly or otherwise, the creature must make a DC 17 Constitution saving throw, taking 17 (5d6) cold damage on a failed save, or half as much damage on a successful one. The frigid air dissipates when the rest of the wall vanishes.",18 (natural armor),"14 (11,500 XP)",18 (+4),poisoned,18 (+4),"fire, poison","bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered",14 (+2),180 (19d10+76),18 (+4),"Infernal, telepathy 120 ft.",,Ice Devil,"Dex +7, Con +9, Wis +7, Cha +9","blindsight 60 ft., darkvision 120 ft.","Large fiend (devil), lawful evil",,40 ft.,21 (+5),http://chisaipete.github.io/bestiary/creature/ice-devil,15 (+2)
Pack Tactics.;; The hyena has advantage on an attack roll against a creature if at least one of the hyena’s allies is within 5 ft. of the creature and the ally isn’t incapacitated.,,,,,,,,,,,"Bite.;; Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.",,,,,,,,,11,0 (10 XP),5 (-3),,12 (+1),,,13 (+1),5 (1d8+1),2 (-4),,,Hyena,,,"Medium beast, unaligned",Perception +3,50 ft.,11 (0),http://chisaipete.github.io/bestiary/creature/hyena,12 (+1)
Amphibious.;; The hydroloth can breathe air and water.,"Steal Memory (1/Day);; The hydroloth targets one creature it can see within 60 feet of it. The target takes 4d6 psychic damage, and it must make a DC 16 Intelligence saving throw. On a successful save, the target becomes immune to this hydroloth’s Steal Memory for 24 hours. On a failed save, the target loses all proficiencies, it can’t cast spells, it can’t understand language, and if its Intelligence and Charisma scores are higher than 5, they become 5. Each time the target finishes a long rest, it can repeat the saving throw, ending the effect on itself on a success. A greater restoration or remove curse spell cast on the target ends this effect early.","Teleport;; The hydroloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.",,,,,,,,,"Innate Spellcasting.;; The hydroloth’s innate spellcasting ability is Intelligence. It can innately cast the following spells, requiring no material components:",,Magic Resistance.;; The hydroloth has advantage on saving throws against spells and other magical effects.,Magic Weapons.;; The hydroloth’s weapon attacks are magical.,Secure Memory.;; The hydroloth is immune to the waters of the River Styx as well as any effect that would steal or modify its memories or detect or read its thoughts.,"Watery Advantage.;; While submerged in liquid, the hydroloth has advantage on attack rolls.","Multiattack;; The hydroloth makes two melee attacks. In place of one of these attacks, it can cast one spell that takes 1 action to cast.","Claws;; Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage.","Bite;; Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) piercing damage.",15,"9 (5,000 XP)",14 (+2),poisoned,16 (+3),"acid, poison","cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",21 (+5),135  (18d8 + 54),19 (+4),"Abyssal, Infernal, telepathy 60 ft.",,Hydroloth,,"blindsight 60 ft., darkvision 60 ft., passive Perception 14","Medium fiend (yugoloth), neutral evil","Insight +4, Perception +4","20 ft., swim 40 ft.",12 (+1),http://chisaipete.github.io/bestiary/creature/hydroloth,10 (0)
Hold Breath.;; The hydra can hold its breath for 1 hour.,,,,,,,,,,,"Multiple Heads.;; The hydra has five heads. While it has more than one head, the hydra has advantage on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious.",,"||ADDENDUM||Whenever the hydra takes 25 or more damage in a single turn, one of its heads dies. If all its heads die, the hydra dies.","||ADDENDUM||At the end of its turn, it grows two heads for each of its heads that died since its last turn, unless it has taken fire damage since its last turn. The hydra regains 10 hit points for each head regrown in this way.","Reactive Heads.;; For each head the hydra has beyond one, it gets an extra reaction that can be used only for opportunity attacks.","Wakeful.;; While the hydra sleeps, at least one of its heads is awake.",Multiattack.;; The hydra makes as many bite attacks as it has heads.,"Bite.;; Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 10 (1d10 + 5) piercing damage.",,15 (natural armor),"8 (3,900 XP)",7 (-2),,20 (+5),,,12 (+1),172 (15d12+75),2 (-4),,,Hydra,,darkvision 60 ft.,"Huge monstrosity, unaligned",Perception +6,"30 ft., swim 30 ft.",20 (+5),http://chisaipete.github.io/bestiary/creature/hydra,10 (0)
Infernal Despair.;; Each creature within 15 feet of Hutijin that isn’t a devil makes saving throws with disadvantage.,"Mace;; Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) bludgeoning damage.","Tail;; Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) bludgeoning damage.","Teleport;; Hutijin magically teleports, along with any equipment he is wearing and carrying, up to 120 feet to an unoccupied space he can see.","||ADDENDUM||Hutijin can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Hutijin regains spent legendary actions at the start of his turn.",Attack;; Hutijin attacks once with his mace.,"Lightning Storm (Costs 2 Actions);; Hutijin releases lightning in a 20-foot radius. All other creatures in that area must each make a DC 22 Dexterity saving throw, taking 18 (4d8) lightning damage on a failed save, or half as much damage on a successful one.",Teleport;; Hutijin uses his Teleport action.,,,,"Innate Spellcasting.;; Hutijin’s innate spellcasting ability is Charisma. He can innately cast the following spells, requiring no material components:",,"Legendary Resistance (3/Day).;; If Hutijin fails a saving throw, he can choose to succeed instead.",Magic Resistance.;; Hutijin has advantage on saving throws against spells and other magical effects.,Magic Weapons.;; Hutijin’s weapon attacks are magical.,"Regeneration.;; Hutijin regains 20 hit points at the start of his turn. If he takes radiant damage, this trait doesn’t function at the start of his next turn. Hutijin dies only if he starts his turn with 0 hit points and doesn’t regenerate.","Multiattack;; Hutijin makes four attacks: one with his bite, one with his claw, one with his mace, and one with his tail.","Bite;; Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) piercing damage. The target must succeed on a DC 22 Constitution saving throw or become poisoned. While poisoned in this way, the target can’t regain hit points, and it takes 10 (3d6) poison damage at the start of each of its turns. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Claw;; Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) slashing damage.",19 (natural armor),"21 (33,000 XP)",25 (+7),"charmed, exhaustion, frightened, poisoned",25 (+7),"fire, poison","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered",15 (+2),200  (16d10 + 112),23 (+6),"all, telepathy 120 ft.",,Hutijin,"Dex +9, Con +14, Wis +11","truesight 120 ft., passive Perception 21","Large fiend (devil), lawful evil","Intimidation +14, Perception +11","30 ft., fly 60 ft.",27 (+8),http://chisaipete.github.io/bestiary/creature/hutijin,19 (+4)
"Spellcasting.;; The hurricane is a 3rd-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). It knows the following sorcerer spells:Cantrips (at will): blade ward, gust, light, prestidigitation++1st level (4 slots): feather fall, jump, thunderwave++2nd level (2 slots): gust of wind",,,,,,,,,,,"Unarmored Defense.;; While the hurricane is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.",,"Unarmored Movement.;; While the hurricane is wearing no armor and wielding no shield, its walking speed increases by 15 feet (included in its speed).",Multiattack.;; The hurricane makes two melee attacks.,"Unarmed Strike.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage.","Deflect Missiles.;; When the hurricane is hit by a ranged weapon attack, it reduces the damage from the attack by 1d10 + 9. If the damage is reduced to 0, the hurricane can catch the missile if it is small enough to hold in one hand and the hurricane has at least one hand free.",,,,14,2 (450 XP),10 (0),,13 (+1),,,16 (+3),33 (6d8+6),10 (0),"Auran, Common",,Hurricane,,,"Medium humanoid (human), lawful evil",Acrobatics +5,45 ft.,12 (+1),http://chisaipete.github.io/bestiary/creature/hurricane,12 (+1)
Blood Frenzy.;; The shark has advantage on melee attack rolls against any creature that doesn’t have all its hit points.,,,,,,,,,,,Water Breathing.;; The shark can breathe only underwater.,,"Bite.;; Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.",,,,,,,12 (natural armor),2 (450 XP),4 (-3),,15 (+2),,,13 (+1),45 (6d10+12),1 (-5),,,Hunter Shark,,darkvision 30 ft.,"Large beast, unaligned",Perception +2,swim 40 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/hunter-shark,10 (0)
Amphibious.;; The crab can breathe air and water.,,,,,,,,,,,"Shell Camouflage.;; While the crab remains motionless with it’s eyestalks and pincers tucked close to it’s body, it resembles a natural formation or a pile of detritus. A creature within 30 feet of it can discren its true nature with a successful DC 15 intelligence (Nature) check.",,Multiattack.;; The crab makes two attacks with its claws.,"Claw.;; Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 20 (3d10+4) bludgeoning damage, and the target is grappled (escape DC 15). The crab has two claws, each of which can grapple only one target.",,,,,,17 (natural armor),"5 (1,800 XP)",3 (-4),,16 (+3),,,8 (-1),76 (8d12+24),3 (-4),--,,Hulking Crab,,blindsight 30 ft.,"Huge beast, unaligned",Stealth +2,"20 ft., swim 30 ft.",19 (+4),http://chisaipete.github.io/bestiary/creature/hulking-crab,11 (0)
Hold Breath.;; The priest can hold its breath for 30 minutes.,,,,,,,,,,,"Spellcasting.;; The priest is a 5th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 12, +4 to hit with spell attacks). It knows the following sorcerer spells:Cantrips (at will): blade ward, gust, light, prestidigitation, shocking grasp++1st level (4 slots): featherfall, shield, witch bolt++2nd level (3 slots): dust devil, gust of wind++3rd level (2 slots): gaseous form",,Multiattack.;; The priest makes two melee attacks or two ranged attacks.,"Scimitar.;; Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","Dagger.;; Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage.",,,,,15 (studded leather),2 (450 XP),14 (+2),,10 (0),,,16 (+3),45 (10d8),14 (+2),"Auran, Common",,Howling Hatred Priest,,,"Medium humanoid (human), neutral evil","Acrobatics +5, Intimidation +4, Religion +4",30 ft.,12 (+1),http://chisaipete.github.io/bestiary/creature/howling-hatred-priest,10 (0)
"Guiding Wind (Recharges after a Short or Long Rest).;; As a bonus action, the initiate gains advantage on the next ranged attack roll it makes before the end of its next turn.",,,,,,,,,,,Hold Breath.;; The initiate can hold its breath for 30 minutes.,,"Dagger.;; Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",,,,,,,13 (leather),1/8 (25 XP),11 (0),,10 (0),,,15 (+2),9 (2d8),10 (0),Common,,Howling Hatred Initiate,,,"Medium humanoid (human), neutral evil","Deception +2, Religion +2, Stealth +4",30 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/howling-hatred-initiate,9 (-1)
Pack Tactics.;; A howler has advantage on attack rolls against a creature if at least one of the howler’s allies is within 5 feet of the creature and the ally isn’t incapacitated.,,,,,,,,,,,Multiattack;; The howler makes two bite attacks.,,"Rending Bite;; Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is frightened it takes an additional 22 (4d10) psychic damage. This attack ignores damage resistance.","Mind-Breaking Howl (Recharge 6);; The howler emits a keening howl in a 60-foot cone. Each creature in that area that isn’t deafened must succeed on a DC 16 Wisdom saving throw or be frightened until the end of the howler’s next turn. While a creature is frightened in this way, its speed is halved, and it is incapacitated. A target that successfully saves is immune to the Mind-Breaking Howl of all howlers for the next 24 hours.",,,,,,16 (natural armor),8 (3900 XP),6 (-2),frightened,15 (+2),,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",16 (+3),90  (12d10 + 24),5 (-2),understands Abyssal but can't speak,,Howler,,"darkvision 60 ft., passive Perception 15","Large fiend, chaotic evil",Perception +8,40 ft.,17 (+3),http://chisaipete.github.io/bestiary/creature/howler,20 (+5)
Devil’s Sight.;; Magical darkness doesn’t impede the devil’s darkvision.,,,,,,,,,,,Magic Resistance.;; The devil has advantage on saving throws against spells and other magical effects.,,Multiattack.;; The devil makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack.,"Fork.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 15 (2d8 + 6) piercing damage.","Tail.;; Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 10 (1d8 + 6) piercing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 17 Constitution saving throw or lose 10 (3d6) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 10 (3d6). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing.","Hurl Flame.;; Ranged Spell Attack: +7 to hit, range 150 ft., one target. Hit: 14 (4d6) fire damage. If the target is a flammable object that isn’t being worn or carried, it also catches fire.",,,,18 (natural armor),"11 (7,200 XP)",17 (+3),poisoned,21 (+5),"fire, poison","cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered",17 (+3),178 (17d10+85),12 (+1),"Infernal, telepathy 120 ft.",,Horned Devil,"Str +10, Dex +7, Wis +7, Cha +7",darkvision 120 ft.,"Large fiend (devil), lawful evil",,"20 ft., fly 60 ft.",22 (+6),http://chisaipete.github.io/bestiary/creature/horned-devil,16 (+3)
Multiattack.;; The spore servant makes two hyook attacks.,,,,,,,,,,,"Hook.;; Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) piercing damage.",,,,,,,,,15 (natural armor),3 (700 XP),1 (-5),"blinded, charmed, frightened, paralyzed",15 (+2),,poison,10 (0),75 (10d10+20),2 (-4),-,,Hook Horror Spore Servant,,blindsight 30 ft. (blind beyond this radius),"Medium plant, unaligned",,"20 ft., climb 20 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/hook-horror-spore-servant,6 (-2)
Echolocation.;; The hook horror can’t use its blindsight while deafened.,,,,,,,,,,,Keen Hearing.;; The hook horror has advantage on Wisdom (Perception) checks that rely on hearing.,,Multiattack.;; The hook horror makes two hook attacks.,"Hook.;; Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) piercing damage.",,,,,,15 (natural armor),3 (700 XP),7 (-2),,15 (+2),,,10 (0),75 (10d10+20),6 (-2),Hook Horror,,Hook Horror,,"blindsight 60 ft., darkvision 10 ft.","Large monstrosity, neutral",Perception +3,"30 ft., climb 30 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/hook-horror,12 (+1)
"Telepathic Bond.;; While the homunculus is on the same plane of existence as its master, it can magically convey what it senses to its master, and the two can communicate telepathically.",,,,,,,,,,,"Bite.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 10 Constitution saving throw or be poisoned for 1 minute. If the saving throw fails by 5 or more, the target is instead poisoned for 5 (1d10) minutes and unconscious while poisoned in this way.",,,,,,,,,13 (natural armor),0 (10 XP),7 (-2),"charmed, poisoned",11 (0),poison,,15 (+2),5 (2d4),10 (0),understands the languages of its creator but can't speak,,Homunculus,,darkvision 60 ft.,"Tiny construct, neutral",,"20 ft., fly 40 ft.",4 (-3),http://chisaipete.github.io/bestiary/creature/homunculus,10 (0)
"Martial Advantage.;; Once per turn, the hobgoblin can deal an extra 14 (4d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn’t incapacitated.",,,,,,,,,,,"Multiattack.;; The hobgoblin makes three melee attacks. Alternatively, it can make two ranged attacks with its javelins.",,"Longsword.;; Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage if used with two hands.","Shield Bash.;; Melee Weapon Attack: +9 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) bludgeoning damage. If the target is Large or smaller, it must succeed on a DC 14 Strength saving throw or be knocked prone.","Javelin.;; Melee or Ranged Weapon Attack: +9 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","Leadership (Recharges after a Short or Long Rest).;; For 1 minute, the hobgoblin can utter a special command or warning whenever a nonhostile creature that it can see within 30 feet of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the hobgoblin. A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated.","Parry.;; The hobgoblin adds 3 to its AC against one melee attack that would hit it. To do so, the hobgoblin must see the attacker and be wielding a melee weapon.",,,"20 (plate, shield)","6 (2,300 XP)",15 (+2),,16 (+3),,,14 (+2),97 (13d8+39),14 (+2),"Common, Goblin",,Hobgoblin Warlord,"Int +5, Wis +3, Cha +5",darkvision 60 ft.,"Medium humanoid (goblinoid), lawful evil",,30 ft.,16 (+3),http://chisaipete.github.io/bestiary/creature/hobgoblin-warlord,11 (0)
"Spellcasting.;; The hobgoblin is a 2nd-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 12, +4 to hit with spell attacks). It has the following wizard spells prepared:",,,,,,,,,,,"||ADDENDUM||Cantrips (at will): minor illusion, prestidigitation, true strike",,"||ADDENDUM||1st level (3 slots): charm person, disguise self, expeditious retreat, silent image","Unarmored Defense.;; While the hobgoblin is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.","Multiattack.;; The hobgoblin makes four attacks, each of which can be an unarmed strike or a dart attack. It can also use Shadow Jaunt once, either before or after one of the attacks.","Unarmed Strike.;; Melee Weapon Attack: +5 to hit, reach 5 it, one target. Hit: 5 (1d4+3) bludgeoning damage.","Dart.;; Ranged Weapon Attack: +5 to hit, range 20/60 it, one target. Hit: 5 (1d4+3) piercing damage.","Shadow Jaunt.;; The hobgoblin magically teleports, along with any equipment it is wearing or carrying, up to 30 feet to an unoccupied space it can see. Both the space it is leaving and its destination must be in dim light or darkness.",,15,2 (450 XP),11 (0),,15 (+2),,,16 (+3),32 (5d8+10),14 (+2),"Common, Goblin",,Hobgoblin Iron Shadow,,darkvision 60 ft.,"Medium humanoid (goblinoid), lawful evil","Acrobatics +5, Athletics +4, Stealth +5",40 ft.,14 (+2),http://chisaipete.github.io/bestiary/creature/hobgoblin-iron-shadow,15 (+2)
"Source.;; Volo’s Guide to Monsters, p. 161","Quarterstaff.;; Melee Weapon Attack: +3 to hit, reach 5 ft, one target. Hit: 4 (1d6+1) bludgeoning damage, or 5 (1d8+1) bludgeoning damage if used with two hands.",,,,,,,,,,"Arcane Advantage.;; Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a damaging spell attack if that target is within 5 feet of an ally of the hobgoblin and that ally isn’t incapacitated.",,"Army Arcane.;; When the hobgoblin casts a spell that causes damage or that forces other creatures to make a saving throw, it can choose itself and any number of allies to be immune to the damage caused by the spell and to succeed on the required saving throw.","Spellcasting.;; The hobgoblin is a 7th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 13, +5 to hit with spell attacks). It has the following wizard spells prepared:","||ADDENDUM||Cantrips (at will): acid splash, fire bolt, ray of frost, shocking grasp","||ADDENDUM||1st level (4 slots): fog cloud, magic missile, thunderwave","||ADDENDUM||2nd level (3 slots): gust of wind, Melf’s acid arrow, scorching ray","||ADDENDUM||3rd level (3 slots): fireball, fly, lightning bolt",||ADDENDUM||4th level (1 slot): ice storm,13 (studded leather armor),"4 (1,100 XP)",11 (0),,14 (+2),,,12 (+1),45 (7d8+14),16 (+3),"Common, Goblin",,Hobgoblin Devastator,,darkvision 60 ft.,"Medium humanoid (goblinoid), lawful evil",Arcana +5,30 ft.,13 (+1),http://chisaipete.github.io/bestiary/creature/hobgoblin-devastator,13 (+1)
"Martial Advantage.;; Once per turn, the hobgoblin can deal an extra 10 (3d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn’t incapacitated.",,,,,,,,,,,Multiattack.;; The hobgoblin makes two greatsword attacks.,,"Greatsword.;; Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.","Javelin.;; Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Leadership (Recharges after a Short or Long Rest).;; For 1 minute, the hobgoblin can utter a special command or warning whenever a nonhostile creature that it can see within 30 ft. of it makes an attack roll or a saving throw. The creature can add a d4 to its roll provided it can hear and understand the hobgoblin. A creature can benefit from only one Leadership die at a time. This effect ends if the hobgoblin is incapacitated.",,,,,17 (half plate),3 (700 XP),13 (+1),,14 (+2),,,14 (+2),39 (6d8+12),12 (+1),"Common, Goblin",,Hobgoblin Captain,,darkvision 60 ft.,"Medium humanoid (goblinoid), lawful evil",,30 ft.,15 (+2),http://chisaipete.github.io/bestiary/creature/hobgoblin-captain,10 (0)
"Martial Advantage.;; Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 ft. of an ally of the hobgoblin that isn’t incapacitated.",,,,,,,,,,,"Longsword.;; Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage, or 6 (1d10 + 1) slashing damage if used with two hands.",,"Longbow.;; Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing damage.",,,,,,,"18 (chain mail, shield)",1/2 (100 XP),9 (-1),,12 (+1),,,12 (+1),11 (2d8+2),10 (0),"Common, Goblin",,Hobgoblin,,darkvision 60 ft.,"Medium humanoid (goblinoid), lawful evil",,30 ft.,13 (+1),http://chisaipete.github.io/bestiary/creature/hobgoblin,10 (0)
