actions,armor_class,challenge,charisma,constitution,dexterity,hit_points,intelligence,languages,name,short_desc,skills,speed,strength,url,wisdom
" The thug has advantage on an attack roll against a creature if at least one of the thug’s allies is within 5 ft. of the creature and the ally isn’t incapacitated.| The thug makes two melee attacks.| Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) bludgeoning damage.| Ranged Weapon Attack: +2 to hit, range 100/400 ft., one target. Hit: 5 (1d10) piercing damage.",11 (leather armor),1/2 (100 XP),11 (0),14 (+2),11 (0),32 (5d8+10),10 (0),any one language (usually Common),Thug,"Medium humanoid (any race), any non-good alignment",Intimidation +2,30 ft.,15 (+2),http://chisaipete.github.io/bestiary/creature/thug,10 (0)
" The thri-kreen can change the color of its carapace to match the color and texture of its surroundings. As a result, it has advantage on Dexterity (Stealth) checks made to hide.| The thri-kreen’s long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.| The thri-kreen makes two attacks: one with its bite and one with its claws.| Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. If the saving throw fails by 5 or more, the target is also paralyzed while poisoned in this way. The poisoned target can repeat the saving throw on each of its turns, ending the effect on itself on a success.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.| The thri-kreen makes two gythka attacks or two chatkcha attacks.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) slashing damage.| Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) slashing damage.",15 (natural armor),Thri-kreen,7 (-2),13 (+1),15 (+2),33 (6d8+6),8 (-1),"Perception +3, Stealth +4, Survival +3",Thri-kreen,"Medium humanoid (thri-kreen), chaotic neutral",darkvision 60 ft.,40 ft.,12 (+1),http://chisaipete.github.io/bestiary/creature/thri-kreen,12 (+1)
" lightning, piercing| The thorny has advantage on Dexterity (Stealth) checks it makes in any terrain with ample obscuring plant life.| The thorny regains 5 hit points at the start of its turn. If it takes cold, fire, or necrotic damage, this trait doesn’t function at the start of the thorny’s next turn. The thorny dies only if it starts its turn with 0 hit points and doesn’t regenerate.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (2d6+1) piercing damage.",14 (natural armor),1 (200 XP),6 (-2),13 (+1),12 (+1),27 (5d8+5),2 (-4),"Perception +4, Stealth +3",Thorny,"Medium plant, neutral",darkvision 60 ft.,30 ft.,13 (+1),http://chisaipete.github.io/bestiary/creature/thorny,10 (0)
" charmed, frightened, paralyzed, poisoned| If the tarrasque fails a saving throw, it can choose to succeed instead.| The tarrasque has advantage on saving throws against spells and other magical effects.| Any time the tarrasque is targeted by a magic missile spell, a line spell, or a spell that requires a ranged attack roll, roll a d6. On a 1 to 5, the tarrasque is unaffected. On a 6, the tarrasque is unaffected, and the effect is reflected back at the caster as though it originated from the tarrasque, turning the caster into the target.| The tarrasque deals double damage to objects and structures.| The tarrasque can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, one with its horns, and one with its tai l. It can use its Swallow instead of its bite.| Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 36 (4d12 + 10) piercing damage. If the target is a creature, it is grappled (escape DC 20). Until this grapple ends, the target is restrained, and the tarrasque can’t bite another target.| Melee Weapon Attack: +19 to hit, reach 15 ft., one target. Hit: 28 (4d8 + 10) slashing damage.| Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 32 (4d10 + 10) piercing damage.| Melee Weapon Attack: +19 to hit, reach 20 ft., one target. Hit: 24 (4d6 + 10) bludgeoning damage. If the target is a creature, it must succeed on a DC 20 Strength saving throw or be knocked prone.| Each creature of the tarrasque’s choice within 120 feet of it and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, with disadvantage if the tarrasque is within line of sight, ending the effect on itself on a success. If a creature’s saving throw is successful or the effect ends for it, the creature is immune to the tarrasque’s Frightful Presence for the next 24 hours.| The tarrasque makes one bite attack against a Large or smaller creature it is grappling. If the attack hits, the target takes the bite’s damage, the target is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the tarrasque, and it takes 56 (16d6) acid damage at the start of each of the tarrasque’s turns.|If the tarrasque takes 60 damage or more on a single turn from a creature inside it, the tarrasque must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of the tarrasque. If the tarrasque dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 30 feet of movement, exiting prone.|The tarrasque can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The tarrasque regains spent legendary actions at the start of its turn.| The tarrasque makes one claw attack or tail attack.| The tarrasque moves up to half its speed.| The tarrasque makes one bite attack or uses its Swallow.",25 (natural armor),"30 (155,000 XP)",11 (0),30 (+10),11 (0),676 (33d20+330),3 (-4),blindsight 120 ft.,Tarrasque,"Gargantuan monstrosity (titan), unaligned","fire, poison, bludgeoning, piercing, and slashing from nonmagical weapons",40 ft.,30 (+10),http://chisaipete.github.io/bestiary/creature/tarrasque,11 (0)
" fire, poison| As a bonus action, the tanarukk can move up to its speed toward a hostile creature that it can see.| The tanarukk has advantage on saving throws against spells and other magical effects.| The tanarukk makes two attacks: one with its bite and one with its greatsword.| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage.| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6+4) slashing damage.| In response to being hit by a melee attack, the tanarukk can make one melee weapon attack with advantage against the attacker.",14 (natural armor),"Abyssal, Common, Orc",9 (-1),20 (+5),13 (+1),95 (10d8+50),9 (-1),"Intimidation +2, Perception +2",Tanarukk,"Medium fiend (demon, orc)",darkvision 60 ft.,30 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/tanarukk,9 (-1)
" The swashbuckler can take the Dash or Disengage action as a bonus action on each of its turns.| While the swashbuckler is wearing light or no armor and wielding no shield, its AC includes its Charisma modifier.| The swashbuckler makes three attacks: one with a dagger and two with its rapier.| Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d4+4) piercing damage.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8+4) piercing damage.",17 (leather armor),3 (700 XP),15 (+2),12 (+1),18 (+4),66 (12d8+12),14 (+2),any one language (usually Common),Swashbuckler,"Medium humanoid (any race), any non-lawful alignment","Acrobatics +8, Athletics +5, Persuasion +6",30 ft.,12 (+1),http://chisaipete.github.io/bestiary/creature/swashbuckler,11 (0)
" When the Stonemelder dies, it turns to stone and explodes in a burst of rock shards, becoming a smoking pile of rubble. Each creature within 10 feet of the exploding Stonemelder must make a DC 14 Dexterity saving throw, taking 11 (2d10) bludgeoning damage on a failed save, or half as much damage on a successful one.| The Stonemelder is a 7th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It knows the following sorcerer spells:| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage. The Stonemelder can also expend a spell slot to deal extra damage, dealing 2d8 bludgeoning damage for a 1st level slot, plus an additional 1d8 for each level of the slot above 1st.",17 (splint),"Common, Terran",17 (+3),16 (+3),10 (0),75 (10d8+30),12 (+1),"Intimidation +5, Perception +2",Stonemelder,"Medium humanoid (human), neutral evil",tremorsense 30 ft.,30 ft.,15 (+2),http://chisaipete.github.io/bestiary/creature/stonemelder,11 (0)
" On each of its turns, the spy can use a bonus action to take the Dash, Disengage, or Hide action.| The spy deals an extra 7 (2d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 ft. of an ally of the spy that isn’t incapacitated and the spy doesn’t have disadvantage on the attack roll.| The spy makes two melee attacks.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.| Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",12,1 (200 XP),16 (+3),10 (0),15 (+2),27 (6d8),12 (+1),any two languages,Spy,"Medium humanoid (any race), any alignment","Deception +5, Insight +4, Investigation +5, Perception +6, Persuasion +5, Sleight of Hand +4, Stealth +4",30 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/spy,14 (+2)
" Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 1 slashing damage.| Ranged Weapon Attack: +6 to hit, range 40/160 ft., one target. Hit: 1 piercing damage, and the target must succeed on a DC 10 Constitution saving throw or become poisoned for 1 minute. If its saving throw result is 5 or lower, the poisoned target falls unconscious for the same duration, or until it takes damage or another creature takes an action to shake it awake.| The sprite touches a creature and magically knows the creature’s current emotional state. If the target fails a DC 10 Charisma saving throw, the sprite also knows the creature’s alignment. Celestials, fiends, and undead automatically fail the saving throw.| The sprite magically turns invisible until it attacks or casts a spell, or until its concentration ends (as if concentrating on a spell). Any equipment the sprite wears or carries is invisible with it.",15 (leather armor),1/4 (50 XP),11 (0),10 (0),18 (+4),2 (1d4),14 (+2),"Common, Elvish, Sylvan",Sprite,"Tiny fey, neutral good","Perception +3, Stealth +8","10 ft., fly 40 ft.",3 (-4),http://chisaipete.github.io/bestiary/creature/sprite,13 (+1)
" The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.| While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.| The spider ignores movement restrictions caused by webbing.| Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 9 Constitution saving throw or take 2 (1d4) poison damage.",12,0 (10 XP),2 (-4),8 (-1),14 (+2),1 (1d4-1),1 (-5),Stealth +4,Spider,"Tiny beast, unaligned",darkvision 30 ft.,"20 ft., climb 20 ft.",2 (-4),http://chisaipete.github.io/bestiary/creature/spider,10 (0)
" acid, cold, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons| charmed, exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious| The specter can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object.| While in sunlight, the specter has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.| Melee Spell Attack: +4 to hit, reach 5 ft., one creature. Hit: 10 (3d6) necrotic damage. The target must succeed on a DC 10 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the creature finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.",12,understands all languages it knew in life but can't speak,11 (0),11 (0),14 (+2),22 (5d8),10 (0),darkvision 60 ft.,Specter,"Medium undead, chaotic evil","necrotic, poison","0 ft., fly 50 ft. (hover)",1 (-5),http://chisaipete.github.io/bestiary/creature/specter,10 (0)
" prone| Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d6 - 1) piercing damage.| The spectator shoots up to two of the following magical eye rays at one or two creatures it can see within 90 ft. of it. It can use each ray only once on a turn.| The spectator magically creates enough food and water to sustain itself for 24 hours.| If the spectator makes a successful saving throw against a spell, or a spell attack misses it, the spectator can choose another creature (including the spellcaster) it can see within 30 ft. of it. The spell targets the chosen creature instead of the spectator. If the spell forced a saving throw, the chosen creature makes its own save. If the spell was an attack, the attack roll is rerolled against the chosen creature.",14 (natural armor),"Deep Speech, Undercommon, telepathy 120 ft.",11 (0),14 (+2),14 (+2),39 (6d8+12),13 (+1),Perception +6,Spectator,"Medium aberration, lawful neutral",darkvision 120 ft.,"0 ft., fly 30 ft. (hover)",8 (-1),http://chisaipete.github.io/bestiary/creature/spectator,14 (+2)
" radiant, bludgeoning, piercing, and slashing from nonmagical weapons| charmed, exhaustion, frightened, poisoned| The solar’s weapon attacks are magical. When the solar hits with any weapon, the weapon deals an extra 6d8 radiant damage (included in the attack).| The solar knows if it hears a lie.| The solar’s spell casting ability is Charisma (spell save DC 25). It can innately cast the following spells, requiring no material components:|At will: detect evil and good, invisibility (self only)|3/day each: blade barrier, dispel evil and good, resurrection|1/day each: commune, control weather| The solar has advantage on saving throws against spells and other magical effects.| The solar makes two greatsword attacks.| Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 22 (4d6 + 8) slashing damage plus 27 (6d8) radiant damage.| Ranged Weapon Attack: +13 to hit, range 150/600 ft., one target. Hit: 15 (2d8 + 6) piercing damage plus 27 (6d8) radiant damage. If the target is a creature that has 190 hit points or fewer, it must succeed on a DC 15 Constitution saving throw or die.| The solar releases its greatsword to hover magically in an unoccupied space within 5 ft. of it. If the solar can see the sword, the solar can mentally command it as a bonus action to fly up to 50 ft. and either make one attack against a target or return to the solar’s hands. If the hovering sword is targeted by any effect, the solar is considered to be holding it. The hovering sword falls if the solar dies.| The solar touches another creature. The target magically regains 40 (8d8 + 4) hit points and is freed from any curse, disease, poison, blindness, or deafness.|The solar can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time, and only at the end of another creature’s turn. The solar regains spent legendary actions at the start of its turn.| The solar magically teleports, along with any equipment it is wearing or carrying, up to 120 ft. to an unoccupied space it can see.| The solar emits magical, divine energy. Each creature of its choice in a 10 -foot radius must make a DC 23 Dexterity saving throw, taking 14 (4d6) fire damage plus 14 (4d6) radiant damage on a failed save, or half as much damage on a successful one.| The solar targets one creature it can see within 30 ft. of it. If the target can see it, the target must succeed on a DC 15 Constitution saving throw or be blinded until magic such as the lesser restoration spell removes the blindness.",21 (natural armor),Perception +14,30 (+10),26 (+8),22 (+6),243 (18d10+144),25 (+7),truesight 120 ft.,Solar,"Large celestial, lawful good","necrotic, poison","50 ft., fly 150 ft.",26 (+8),http://chisaipete.github.io/bestiary/creature/solar,25 (+7)
" The Skyweaver is a 6th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). It knows the following sorcerer spells:| Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 3 (1d4 + 1) piercing damage.",12 (15 with mage armor),3 (700 XP),16 (+3),12 (+1),14 (+2),44 (8d8+8),11 (0),"Auran, Common",Skyweaver,"Medium humanoid (human), chaotic evil","Deception +5, Persuasion +5",30 ft.,8 (-1),http://chisaipete.github.io/bestiary/creature/skyweaver,10 (0)
" blinded| The skulk is invisible. This invisibility can be circumvented by three things:| The skulk leaves no tracks to indicate where it has been or where it’s headed.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) slashing damage. If the skulk has advantage on the attack roll, the target also takes 7 (2d6) necrotic damage.",14,Stealth +8,1 (-4),10 (0),19 (+4),18  (4d8),10 (0),"darkvision 120 ft., passive Perception 8",Skulk,"Medium humanoid, chaotic neutral",radiant,30 ft.,6 (-2),http://chisaipete.github.io/bestiary/creature/skulk,7 (-1)
" bludgeoning| poisoned| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.| Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",13 (armor scraps),1/4 (50 XP),5 (-3),15 (+2),14 (+2),13 (2d8+4),6 (-2),understands all languages it spoke in life but can't speak,Skeleton,"Medium undead, lawful evil",darkvision 60 ft.,30 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/skeleton,8 (-1)
" tales from the yawning portal,  page 243| Siren can breathe air and water.| Siren’s innate spellcasting ability is Charisma (spell save DC 13). She can innately cast the following spells, requiring no material components:|1/day each: charm person, fog cloud, greater invisibility, polymorph (self only).| Siren has advantage on saving throws against spells and other magical effects.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage.| Siren touches one creature she can see within 5 feet of her. The creature must succeed on a DC 13 Intelligence saving throw or take 13 (3d6 + 3) psychic damage and be stunned until the start of Siren’s next turn.",14,"Common, Elvish, Sylvan",16 (+3),12 (+1),18 (+4),38 (7d8+7),13 (+1),"Medicine +4, Nature +3, Stealth +6, Survival +4",Siren,"Medium fey, chaotic good",darkvision 60 ft.,"30 ft., swim 30 ft.",10 (0),http://chisaipete.github.io/bestiary/creature/siren,14 (+2)
" cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks| poisoned| The sibriex emits an aura of corruption 30 feet in every direction. Plants that aren’t creatures wither in the aura, and the ground in it is difficult terrain for other creatures. Any creature that starts its turn in the aura must succeed on a DC 20 Constitution saving throw or take 14 (4d6) poison damage. A creature that succeeds on the save is immune to this sibriex’s Contamination for 24 hours.| The sibriex’s innate spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components:| If the sibriex fails a saving throw, it can choose to succeed instead.| The sibriex has advantage on saving throws against spells and other magical effects.| The sibriex uses Squirt Bile once and makes three attacks using its chain, bite, or both.| Melee Weapon Attack: +6 to hit, reach 15 ft., one target. Hit: 20 (2d12 + 7) piercing damage.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (2d8) piercing damage plus 9 (2d8) acid damage.| The sibriex targets one creature it can see within 120 feet of it. The target must succeed on a DC 20 Dexterity saving throw or take 35 (10d6) acid damage.| The sibriex targets up to three creatures it can see within 120 feet of it. Each target must make a DC 20 Constitution saving throw. On a successful save, a creature becomes immune to this sibriex’s Warp Creature. On a failed save, the target is poisoned, which causes it to also gain 1 level of exhaustion. While poisoned in this way, the target must repeat the saving throw at the start of each of its turns. Three successful saves against the poison end it, and ending the poison removes any levels of exhaustion caused by it. Each failed save causes the target to suffer another level of exhaustion. Once the target reaches 6 levels of exhaustion, it dies and instantly transforms into a living abyssal wretch under the sibriex’s control. The transformation of the body can be undone only by a wish spell. (See ‘Other’ tab for variant)|The sibriex can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The sibriex regains spent legendary actions at the start of its turn.| The sibriex casts a spell.| The sibriex uses Squirt Bile.| The sibriex uses Warp Creature.",19 (natural armor),"Arcana +13, History +13, Perception +13",25 (+7),23 (+6),3 (-3),150  (12d12 + 72),25 (+7),"truesight 120 ft., passive Perception 23",Sibriex,"Huge fiend (demon), chaotic evil",poison,"0 ft., fly 20 ft. (hover)",10 (0),http://chisaipete.github.io/bestiary/creature/sibriex,24 (+7)
" cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks| charmed, frightened, poisoned| When it reduces a creature to 0 hit points with a melee attack on its turn, the shoosuva can take a bonus action to move up to half its speed and make a bite attack.| The shoosuva makes two attacks: one with its bite and one with its tail stinger.| Melee Weapon Attack: +7 to hit, reach 5 ft, one target. Hit: 26 (4d10+4) piercing damage.| Melee Weapon Attack: +7 to hit, reach 15 ft, one creature. Hit: 13 (2d8+4) piercing damage, and the target must succeed on a DC 14 Constitution saving throw or become poisoned. While poisoned, the target is also paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",14 (natural armor),"Abyssal, Gnoll, telepathy 120 ft.",9 (-1),17 (+3),13 (+1),110 (13d10+39),7 (-2),darkvision 60 ft.,Shoosuva,"Large fiend (demon), chaotic evil",poison,40 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/shoosuva,14 (+2)
" radiant| acid, cold, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons| exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained| The shadow can move through a space as narrow as 1 inch wide without squeezing.| While in dim light or darkness, the shadow can take the Hide action as a bonus action. Its stealth bonus is also improved to +6.| While in sunlight, the shadow has disadvantage on attack rolls, ability checks, and saving throws.| Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 9 (2d6 + 2) necrotic damage, and the target’s Strength score is reduced by 1d4. The target dies if this reduces its Strength to 0. Otherwise, the reduction lasts until the target finishes a short or long rest.|If a non-evil humanoid dies from this attack, a new shadow rises from the corpse 1d4 hours later.",12,Stealth +4,8 (-1),13 (+1),14 (+2),16 (3d8+3),6 (-2),darkvision 60 ft.,Shadow,"Medium undead, chaotic evil","necrotic, poison",40 ft.,6 (-2),http://chisaipete.github.io/bestiary/creature/shadow,10 (0)
" While wearing the mask of the Dragon Queen: acid, cold, lightning, poison; bludgeoning, piercing, and slashing damage from nonmagical weapons| While wearing the mask of the Dragon Queen: charmed, frightened, poisoned| Severin has the Mask of the Dragon Queen.| Severin adds his Charisma bonus to his AC (included).| If Severin deals fire damage to a creature while wearing the Mask of the Dragon Queen, the target catches fire. At the start of each of its turns, the burning target takes 5 (1d10) fire damage. A creature within reach of the fire can use an action to extinguish it.| While wearing the Mask of the Dragon Queen, if Severin fails a saving throw, he can choose to succeed instead.| Melee Spell Attack: +5 to hit, reach 5 ft., one target. Hit: 18 (4d8) fire damage.| Ranged Spell Attack: +5 to hit, range 90 ft., one target. Hit: 40 (9d8) fire damage.| Severin chooses a point he can see within 60 feet of him. Each creature within 5 feet of that point must make a DC 17 Dexterity saving throw, taking 18 (4d8) fire damage on a failed save, or half as much damage on a successful one.|If Severin is wearing the Mask of the Dragon Queen, he can take 3 legendary actions, choosing from the options listed. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Severin regains spent legendary actions at the start of his turn.| Severin makes one attack.| Severin, along with any objects he is wearing or carrying, teleports up to 60 feet to an unoccupied space he can see. Each creature within 5 feet of Severin before he teleports takes 5 (1d10) fire damage.| Severin targets one creature he can see within 30 feet of him. The target is wrapped in magical chains of fire and restrained. The restrained target takes 21 (6d6) fire damage at the start of each of its turns. At the end of its turns, the target can make a DC 17 Strength saving throw, ending the effect on itself on a success.",16,"Arcana +7, Religion +7",20 (+5),16 (+3),13 (+1),150 (20d8+60),17 (+3),While wearing the Mask of the Dragon Queen: darkvision 60 ft.,Severin,"Medium humanoid (human), neutral evil",While wearing the mask of the Dragon Queen: fire,30 ft.,10 (0),http://chisaipete.github.io/bestiary/creature/severin,12 (+1)
" The scout has advantage on Wisdom (Perception) checks that rely on hearing or sight.| The scout makes two melee attacks or two ranged attacks.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.| Ranged Weapon Attack: +4 to hit, ranged 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",13 (leather armor),1/2 (100 XP),11 (0),12 (+1),14 (+2),16 (3d8+3),11 (0),any one language (usually Common),Scout,"Medium humanoid (any race), any alignment","Nature +4, Perception +5, Stealth +6, Survival +5",30 ft.,11 (0),http://chisaipete.github.io/bestiary/creature/scout,13 (+1)
" fire| bludgeoning, piercing, and slashing from nonmagical weapons| charmed, exhaustion, frightened, paralyzed, poisoned, unconscious| While the scarecrow remains motionless, it is indistinguishable from an ordinary, inanimate scarecrow.| The scarecrow makes two claw attacks.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage. If the target is a creature, it must succeed on a DC 11 Wisdom saving throw or be frightened until the end of the scarecrow’s next turn.| The scarecrow targets one creature it can see within 30 feet of it. If the target can see the scarecrow, the target must succeed on a DC 11 Wisdom saving throw or be magically frightened until the end of the scarecrow’s next turn. The frightened target is paralyzed.",11,understands the languages of its creator but can't speak,13 (+1),11 (0),13 (+1),36 (8d8),10 (0),darkvision 60 ft.,Scarecrow,"Medium construct, chaotic evil",poison,30 ft.,11 (0),http://chisaipete.github.io/bestiary/creature/scarecrow,10 (0)
" fire; bludgeoning, piercing, and slashing from nonmagical attacks| charmed, paralyzed, poisoned| Whenever the scaladar is subjected to lightning damage, it takes no damage, and its sting deals an extra 11 (2d10) lightning damage until the end of its next turn.| The scaladar knows the location of other scaladar within 100 feet of it, and it can sense when any of them take damage.| The scaladar makes three attacks: two with its claws and one with its sting.| Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage, and the target is grappled (escape DC 15). The scaladar has two claws, each of which can grapple one target.| Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage plus 11 (2d10) lightning damage.",19 (natural armor),—,1 (-5),25 (+7),10 (0),94 (7d12 + 49),1 (-5),"darkvision 60 ft., passive Perception 11",Scaladar,"Huge construct, unaligned","force, lightning, poison","30 ft., clmb 20 ft.",19 (+4),http://chisaipete.github.io/bestiary/creature/scaladar,12 (+1)
" The satyr has advantage on saving throws against spells and other magical effects.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) bludgeoning damage.| Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1 d6 + 3) piercing damage.| Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.| Gentle Lullaby. The creature falls asleep and is unconscious for 1 minute. The effect ends if the creature takes damage or if someone takes an action to shake the creature awake.",14 (leather armor),1/2 (100 XP),14 (+2),11 (0),16 (+3),31 (7d8),12 (+1),"Common, Elvish, Sylvan",Satyr,"Medium fey, chaotic neutral","Perception +2, Performance +6, Stealth +5",40 ft.,12 (+1),http://chisaipete.github.io/bestiary/creature/satyr,10 (0)
" cold| bludgeoning, piercing, and slashing from nonmagical weapons| A creature that touches the salamander or hits it with a melee attack while within 5 ft. of it takes 7 (2d6) fire damage.| Any metal melee weapon the salamander wields deals an extra 3 (1d6) fire damage on a hit (included in the attack).| The salamander makes two attacks: one with its spear and one with its tail.| Melee or Ranged Weapon Attack: +7 to hit, reach 5 ft. or range 20 ft./60 ft., one target. Hit: 11 (2d6 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.| Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage plus 7 (2d6) fire damage, and the target is grappled (escape DC 14). Until this grapple ends, the target is restrained, the salamander can automatically hit the target with its tail, and the salamander can’t make tail attacks against other targets.",15 (natural armor),Ignan,12 (+1),15 (+2),14 (+2),90 (12d10+24),11 (0),darkvision 60 ft.,Salamander,"Large elemental, neutral evil",fire,30 ft.,18 (+4),http://chisaipete.github.io/bestiary/creature/salamander,10 (0)
" The sahuagin has advantage on melee attack rolls against any creature that doesn’t have all its hit points.| The sahuagin can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating.| The sahuagin can magically command any shark within 120 feet of it, using a limited telepathy.| The sahuagin makes two melee attacks: one with its bite and one with its claws or spear.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) slashing damage.| Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",12 (natural armor),Sahuagin,9 (-1),12 (+1),11 (0),22 (4d8+4),12 (+1),Perception +5,Sahuagin,"Medium humanoid (sahuagin), lawful evil",darkvision 120 ft.,"30 ft., swim 40 ft.",13 (+1),http://chisaipete.github.io/bestiary/creature/sahuagin,13 (+1)
